algorithm,input,n,time_ms,comparisons,max_depth
mergesort,random,1000,0.3638,9592,8
quicksort,random,1000,0.4877,15911,6
quickselect,random,1000,0.0958,5667,1
mergesort,sorted,1000,0.1318,4236,8
quicksort,sorted,1000,0.1944,15720,6
quickselect,sorted,1000,0.0309,5362,1
mergesort,duplicates,1000,0.2605,9205,8
quicksort,duplicates,1000,0.5336,5395,2
quickselect,duplicates,1000,0.0598,3263,1
mergesort,random,10000,6.3463,126989,11
quicksort,random,10000,6.2794,230784,8
quickselect,random,10000,1.7931,73681,1
mergesort,sorted,10000,2.2496,59248,11
quicksort,sorted,10000,1.6608,244851,9
quickselect,sorted,10000,0.2174,65790,1
mergesort,duplicates,10000,1.1138,121922,11
quicksort,duplicates,10000,0.4462,64793,2
quickselect,duplicates,10000,0.2425,30018,1
mergesort,random,100000,18.3060,1639183,14
quicksort,random,100000,18.8110,3002617,10
quickselect,random,100000,3.2593,555462,1
mergesort,sorted,100000,6.8699,744016,14
quicksort,sorted,100000,11.0977,2963060,10
quickselect,sorted,100000,1.6266,568446,1
mergesort,duplicates,100000,9.3520,1561600,14
quicksort,duplicates,100000,3.1199,560795,2
quickselect,duplicates,100000,1.9115,419677,1
mergesort,random,1000000,210.2225,19888261,18
quicksort,random,1000000,227.1527,37215158,13
quickselect,random,1000000,27.4693,3648876,1
mergesort,sorted,1000000,66.1298,9071040,18
quicksort,sorted,1000000,128.4965,39308147,13
quickselect,sorted,1000000,11.4889,4326616,1
mergesort,duplicates,1000000,105.4687,18924523,18
quicksort,duplicates,1000000,23.9080,6496393,2
quickselect,duplicates,1000000,18.4054,3001908,1
